Trial	Identity	Answer	ReactionTime[s]	
1	B14	51	1.939536e+01
2	G35	51	8.737002e+00
3	G20	51	7.658945e+00
4	B33	48	6.885349e+00
5	G31	44	7.444597e+00
6	B21	59	1.070116e+01
7	B09	46	7.946328e+00
8	G37	45	9.457396e+00
9	G25	51	9.779988e+00
10	B32	83	1.049677e+01
11	B13	66	9.356410e+00
12	B28	56	6.171685e+00
13	G05	43	1.061213e+01
14	G23	18	9.628400e+00
15	G29	44	7.121837e+00
16	B41	57	7.637569e+00
17	B40	79	1.028799e+01
18	G36	52	1.005061e+01
19	B26	42	7.291237e+00
20	G17	54	2.461948e+01
21	G11	49	8.708678e+00
22	B25	47	1.386000e+01
23	G28	48	1.003156e+01
24	G22	58	9.326776e+00
25	G15	73	6.529548e+00
26	B37	49	8.314104e+00
27	G27	48	6.080378e+00
28	B16	48	7.683879e+00
29	B35	64	7.244181e+00
30	B36	49	8.114819e+00
31	G39	65	7.739714e+00
32	B29	57	7.249044e+00
33	B34	61	7.995329e+00
34	G08	47	7.971618e+00
35	B24	52	9.299229e+00
36	G07	64	6.062705e+00
37	G01	54	7.126754e+00
38	G09	61	6.936536e+00
39	G21	54	5.910583e+00
40	B23	79	7.060826e+00
41	B15	80	5.900935e+00
42	B20	52	6.166882e+00
43	G16	77	8.254628e+00
44	G24	47	6.144838e+00
45	B14	63	5.762993e+00
46	B21	72	1.091455e+01
47	G15	77	7.017341e+00
48	G31	70	9.147266e+00
49	G11	47	7.793422e+00
50	G05	60	7.091320e+00
51	G28	49	1.030005e+01
52	B41	56	8.169602e+00
53	B35	75	5.722532e+00
54	G21	65	6.067651e+00
55	G01	60	6.036876e+00
56	G08	58	6.160342e+00
57	G23	19	8.624778e+00
58	B26	54	6.555793e+00
59	B34	76	7.425079e+00
60	B28	69	6.936955e+00
61	G20	70	6.945346e+00
62	G22	57	6.050461e+00
63	B23	55	6.043862e+00
64	G29	64	6.992271e+00
65	G36	41	5.894633e+00
66	B32	83	7.120087e+00
67	G07	61	6.918263e+00
68	G35	61	6.130859e+00
69	G24	41	5.533420e+00
70	G16	78	6.108306e+00
71	B33	40	9.861458e+00
72	G27	54	6.597294e+00
73	B29	77	6.104324e+00
74	B13	80	5.364823e+00
75	B24	68	5.650541e+00
76	B25	46	6.132415e+00
77	B37	40	5.566547e+00
78	B20	57	5.384636e+00
79	G17	63	6.527416e+00
80	B09	79	5.636065e+00
81	G39	32	5.848571e+00
82	B36	51	6.466782e+00
83	B15	86	1.042008e+01
84	G09	76	6.207420e+00
85	G25	62	7.833210e+00
86	B16	40	9.004538e+00
87	B40	74	8.757007e+00
88	G37	63	6.884487e+00
89	G29	65	6.630989e+00
90	B25	64	1.086999e+01
91	B09	79	7.131318e+00
92	B23	69	9.283054e+00
93	B34	57	5.895076e+00
94	G28	51	5.490454e+00
95	G21	72	6.240546e+00
96	B26	72	5.505742e+00
97	G11	56	6.090303e+00
98	B37	59	6.011009e+00
99	G39	72	5.778132e+00
100	G35	60	1.121069e+01
101	B24	58	6.055087e+00
102	G20	69	7.264954e+00
103	B13	59	5.674100e+00
104	G23	24	7.033200e+00
105	G07	80	5.681388e+00
106	G08	51	7.322521e+00
107	G22	44	5.752672e+00
108	G16	88	5.657627e+00
109	B40	70	1.415215e+01
110	B16	29	1.213242e+01
111	G31	45	7.086177e+00
112	G09	87	5.637840e+00
113	B33	82	6.948720e+00
114	G17	72	8.332728e+00
115	G27	42	9.737023e+00
116	B20	52	6.885419e+00
117	G01	59	5.538589e+00
118	B28	75	6.054841e+00
119	B29	64	6.087862e+00
120	B14	75	8.543108e+00
121	G15	75	7.075047e+00
122	G25	52	6.203595e+00
123	G24	46	7.757579e+00
124	B15	65	6.766975e+00
125	B36	39	5.571708e+00
126	G05	41	5.556606e+00
127	B32	93	7.720644e+00
128	B21	77	5.651062e+00
129	B35	62	5.599862e+00
130	G36	61	5.710918e+00
131	G37	52	5.513895e+00
132	B41	75	5.868828e+00
133	B24	74	7.970726e+00
134	B15	84	7.802001e+00
135	G08	55	8.274110e+00
136	G05	42	8.538451e+00
137	B16	59	6.409433e+00
138	B26	68	6.075686e+00
139	B14	70	7.112596e+00
140	B28	70	9.469467e+00
141	B20	60	8.135751e+00
142	G22	62	1.125867e+01
143	G35	69	5.443899e+00
144	G23	26	7.179131e+00
145	B23	66	8.123688e+00
146	B21	61	5.713402e+00
147	B40	83	5.760169e+00
148	G15	64	1.048955e+01
149	B09	60	5.501698e+00
150	G37	47	5.638240e+00
151	B41	46	5.730165e+00
152	G09	74	6.428050e+00
153	G36	50	8.529856e+00
154	G01	51	6.496252e+00
155	G27	60	5.995966e+00
156	B37	48	6.121154e+00
157	G31	43	6.147665e+00
158	B25	59	7.609298e+00
159	B36	44	5.467889e+00
160	B34	60	9.301225e+00
161	G25	68	5.683497e+00
162	G28	58	5.513190e+00
163	G16	65	5.549406e+00
164	B29	76	5.980703e+00
165	G17	71	5.581781e+00
166	G29	60	6.367844e+00
167	G11	38	5.592429e+00
168	B13	77	5.803899e+00
169	B32	86	6.106169e+00
170	G20	59	6.510594e+00
171	G07	63	5.486870e+00
172	G24	44	5.566820e+00
173	G21	75	6.081708e+00
174	G39	59	5.570049e+00
175	B33	62	5.751756e+00
176	B35	74	8.893052e+00
