Trial	Identity	Answer	ReactionTime[s]	
1	B14	61	1.459643e+01
2	G35	39	9.960113e+00
3	G20	32	7.988410e+00
4	B33	5	6.592579e+00
5	G31	26	7.305815e+00
6	B21	41	6.968852e+00
7	B09	45	6.407202e+00
8	G37	41	7.741639e+00
9	G25	50	7.698165e+00
10	B32	70	7.163379e+00
11	B13	39	6.761296e+00
12	B28	41	6.067386e+00
13	G05	39	5.775811e+00
14	G23	26	5.937048e+00
15	G29	76	6.432286e+00
16	B41	51	6.428217e+00
17	B40	47	5.966656e+00
18	G36	38	6.035980e+00
19	B26	51	6.204530e+00
20	G17	39	6.335178e+00
21	G11	30	6.120549e+00
22	B25	56	7.651595e+00
23	G28	38	5.704198e+00
24	G22	30	5.795121e+00
25	G15	48	6.050776e+00
26	B37	38	5.812174e+00
27	G27	37	6.042223e+00
28	B16	36	6.556172e+00
29	B35	50	6.183451e+00
30	B36	48	6.858538e+00
31	G39	44	6.258515e+00
32	B29	65	6.068988e+00
33	B34	63	5.687624e+00
34	G08	42	5.921941e+00
35	B24	40	5.879960e+00
36	G07	55	5.542260e+00
37	G01	38	5.594941e+00
38	G09	59	5.886646e+00
39	G21	36	6.418338e+00
40	B23	47	5.546398e+00
41	B15	45	5.372474e+00
42	B20	56	5.878995e+00
43	G16	49	5.988107e+00
44	G24	22	5.618876e+00
45	B14	49	5.745214e+00
46	B21	50	5.617106e+00
47	G15	50	7.029031e+00
48	G31	46	6.331536e+00
49	G11	39	5.882069e+00
50	G05	19	7.294477e+00
51	G28	31	6.082043e+00
52	B41	30	5.788370e+00
53	B35	63	5.536480e+00
54	G21	34	5.560180e+00
55	G01	32	5.584799e+00
56	G08	50	6.562282e+00
57	G23	30	6.784172e+00
58	B26	41	5.624200e+00
59	B34	62	5.450921e+00
60	B28	54	5.846310e+00
61	G20	62	5.520556e+00
62	G22	38	7.014756e+00
63	B23	65	5.440070e+00
64	G29	51	6.724360e+00
65	G36	49	5.771965e+00
66	B32	30	5.466798e+00
67	G07	54	5.806700e+00
68	G35	61	5.710195e+00
69	G24	27	6.151436e+00
70	G16	61	6.401018e+00
71	B33	24	5.473569e+00
72	G27	37	5.624750e+00
73	B29	53	5.629307e+00
74	B13	40	5.520586e+00
75	B24	38	6.020640e+00
76	B25	33	7.311652e+00
77	B37	21	5.681146e+00
78	B20	59	6.159705e+00
79	G17	34	5.738433e+00
80	B09	61	5.826021e+00
81	G39	27	5.732904e+00
82	B36	47	5.751336e+00
83	B15	45	5.625829e+00
84	G09	44	5.699730e+00
85	G25	41	6.725667e+00
86	B16	47	5.556265e+00
87	B40	51	5.782826e+00
88	G37	38	5.860360e+00
89	G29	55	5.771144e+00
90	B25	39	5.859945e+00
91	B09	45	5.901792e+00
92	B23	38	5.646701e+00
93	B34	45	5.522272e+00
94	G28	36	5.905406e+00
95	G21	48	5.580226e+00
96	B26	72	6.255052e+00
97	G11	39	5.485270e+00
98	B37	48	5.684003e+00
99	G39	33	5.559149e+00
100	G35	67	6.215721e+00
101	B24	49	5.558765e+00
102	G20	69	5.436420e+00
103	B13	54	5.711694e+00
104	G23	17	5.508741e+00
105	G07	70	6.183412e+00
106	G08	45	5.880907e+00
107	G22	25	5.670013e+00
108	G16	68	5.656764e+00
109	B40	47	5.447534e+00
110	B16	50	7.080766e+00
111	G31	46	5.637139e+00
112	G09	75	6.292169e+00
113	B33	41	5.682235e+00
114	G17	44	5.601775e+00
115	G27	35	5.788654e+00
116	B20	50	6.342774e+00
117	G01	29	5.827132e+00
118	B28	25	5.476729e+00
119	B29	56	6.066452e+00
120	B14	66	5.541441e+00
121	G15	49	5.604308e+00
122	G25	52	5.740765e+00
123	G24	32	6.013579e+00
124	B15	58	6.155623e+00
125	B36	50	5.432689e+00
126	G05	22	5.773015e+00
127	B32	39	5.630592e+00
128	B21	58	5.591391e+00
129	B35	49	5.627250e+00
130	G36	46	5.923797e+00
131	G37	27	5.979557e+00
132	B41	55	6.226432e+00
133	B24	49	5.511326e+00
134	B15	44	5.606947e+00
135	G08	45	6.637805e+00
136	G05	47	5.516411e+00
137	B16	46	5.627725e+00
138	B26	75	5.931558e+00
139	B14	23	5.786258e+00
140	B28	38	6.856718e+00
141	B20	54	6.407397e+00
142	G22	26	6.367264e+00
143	G35	54	5.668536e+00
144	G23	14	5.974611e+00
145	B23	51	5.669399e+00
146	B21	62	5.504833e+00
147	B40	49	6.570427e+00
148	G15	43	5.587814e+00
149	B09	55	5.976102e+00
150	G37	36	5.593340e+00
151	B41	44	6.540430e+00
152	G09	71	7.153458e+00
153	G36	46	5.526991e+00
154	G01	36	6.020679e+00
155	G27	35	5.907398e+00
156	B37	37	5.796838e+00
157	G31	33	5.594114e+00
158	B25	34	5.512840e+00
159	B36	42	5.456517e+00
160	B34	57	5.673319e+00
161	G25	42	6.397190e+00
162	G28	31	7.083378e+00
163	G16	37	5.560110e+00
164	B29	36	5.556794e+00
165	G17	39	5.586106e+00
166	G29	71	6.351544e+00
167	G11	25	5.832805e+00
168	B13	52	6.166061e+00
169	B32	61	6.032874e+00
170	G20	43	5.715934e+00
171	G07	43	5.602799e+00
172	G24	34	5.600189e+00
173	G21	45	5.779172e+00
174	G39	47	6.157017e+00
175	B33	19	5.676288e+00
176	B35	55	6.218086e+00
